model,class_id,class_name,gt_objects,tp,fp,fn,precision@0.5conf_0.5iou,recall@0.5conf_0.5iou,f1@0.5conf_0.5iou
RF-DETR Small,0,aramco,38,25,6,13,0.8064516129032258,0.6578947368421053,0.7246376811594202
RF-DETR Small,1,atlasian,9,2,1,7,0.6666666666666666,0.2222222222222222,0.3333333333333333
RF-DETR Small,2,bwt,18,8,3,10,0.7272727272727273,0.4444444444444444,0.5517241379310345
RF-DETR Small,3,capp,15,3,0,12,1.0,0.2,0.33333333333333337
RF-DETR Small,4,hp,44,28,3,16,0.9032258064516129,0.6363636363636364,0.7466666666666666
RF-DETR Small,5,kick,3,0,2,3,0.0,0.0,0.0
RF-DETR Small,6,moneygram,20,16,2,4,0.8888888888888888,0.8,0.8421052631578948
RF-DETR Small,7,okx,85,60,19,25,0.759493670886076,0.7058823529411765,0.7317073170731707
RF-DETR Small,8,oracle,15,8,1,7,0.8888888888888888,0.5333333333333333,0.6666666666666667
RF-DETR Small,9,petronas,26,12,4,14,0.75,0.46153846153846156,0.5714285714285714
