model,class_id,class_name,AP@50,AP@50:95
YOLO11s,0,aramco,0.8508197247313627,0.5113615968145189
YOLO11s,1,atlasian,0.2316666666666667,0.13016666666666668
YOLO11s,2,bwt,0.5133188210113282,0.2990219421464061
YOLO11s,3,capp,0.4439706802538661,0.11911020555691583
YOLO11s,4,hp,0.6798013602779484,0.46519441055913086
YOLO11s,5,kick,0.06568407960199006,0.006568407960199006
YOLO11s,6,moneygram,0.8135866025504458,0.6256824424598947
YOLO11s,7,okx,0.7513434646603008,0.42156917596266313
YOLO11s,8,oracle,0.7864776245426399,0.4583320314547201
YOLO11s,9,petronas,0.5142763868226716,0.2785946709018536
