epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9169,2.12332,5.71238,1.25548,0.76448,0.1377,0.16098,0.10309,1.73427,2.28304,1.09062,0.000235817,0.000235817,0.000235817
2,70.3938,1.7236,2.46909,1.07046,0.59286,0.28908,0.2458,0.16085,1.69499,1.79304,1.06336,0.000464435,0.000464435,0.000464435
3,95.6734,1.70826,2.00658,1.05806,0.49345,0.29656,0.30904,0.19394,1.76004,1.96923,1.05839,0.000683629,0.000683629,0.000683629
4,120.834,1.74732,1.83745,1.04365,0.68125,0.34488,0.35067,0.20985,1.62504,1.67061,1.0325,0.000671588,0.000671588,0.000671588
5,146.991,1.63513,1.55846,1.03455,0.65893,0.3438,0.39241,0.24912,1.63709,1.32367,1.01529,0.000657451,0.000657451,0.000657451
6,173.087,1.54566,1.39911,1.01852,0.62505,0.40252,0.41402,0.26206,1.5735,1.27071,0.98179,0.000643314,0.000643314,0.000643314
7,198.321,1.60349,1.40032,1.01379,0.6325,0.40811,0.44193,0.28088,1.61431,1.18891,1.00783,0.000629177,0.000629177,0.000629177
8,223.122,1.51712,1.29513,0.98638,0.62342,0.38351,0.42259,0.26095,1.57491,1.29027,0.9986,0.00061504,0.00061504,0.00061504
9,247.352,1.56446,1.26569,1.00641,0.77942,0.3933,0.45885,0.28698,1.50539,1.15162,0.97944,0.000600902,0.000600902,0.000600902
10,272.711,1.50694,1.2578,0.98354,0.83751,0.3982,0.48104,0.30105,1.5017,1.06238,0.95652,0.000586765,0.000586765,0.000586765
11,297.427,1.49949,1.21961,0.96557,0.63059,0.45588,0.47377,0.29471,1.44816,1.05136,0.95733,0.000572628,0.000572628,0.000572628
12,321.356,1.44231,1.1622,0.96104,0.72051,0.46612,0.50785,0.30584,1.48005,0.9867,0.96723,0.000558491,0.000558491,0.000558491
13,346.066,1.44455,1.10418,0.94433,0.68617,0.49822,0.5344,0.33004,1.4047,0.94279,0.94377,0.000544354,0.000544354,0.000544354
14,370.886,1.39433,1.06491,0.95039,0.76814,0.49354,0.53959,0.33335,1.38829,0.93749,0.93694,0.000530216,0.000530216,0.000530216
15,395.675,1.37471,1.03184,0.93363,0.7442,0.55635,0.58599,0.33809,1.41869,0.94195,0.92235,0.000516079,0.000516079,0.000516079
16,420.522,1.37784,1.03907,0.93969,0.76653,0.46412,0.54795,0.35112,1.30687,0.94429,0.91561,0.000501942,0.000501942,0.000501942
17,445.419,1.35364,0.98154,0.93463,0.7677,0.51415,0.57555,0.34158,1.38115,0.93143,0.92756,0.000487805,0.000487805,0.000487805
18,469.694,1.3811,0.97665,0.9304,0.76408,0.53188,0.54029,0.34215,1.37535,0.89876,0.92296,0.000473668,0.000473668,0.000473668
19,493.74,1.33756,0.88529,0.92889,0.75089,0.47254,0.53027,0.33163,1.39284,0.91577,0.91289,0.00045953,0.00045953,0.00045953
20,517.883,1.32572,0.93136,0.91636,0.79662,0.50646,0.56542,0.34359,1.35224,0.87131,0.89793,0.000445393,0.000445393,0.000445393
21,541.864,1.29789,0.89386,0.91873,0.79511,0.50175,0.56436,0.35688,1.34534,0.84036,0.90119,0.000431256,0.000431256,0.000431256
22,566.97,1.29773,0.88487,0.91086,0.74022,0.52919,0.55366,0.35059,1.31643,0.81451,0.89462,0.000417119,0.000417119,0.000417119
23,594.566,1.26302,0.87837,0.90251,0.78382,0.5492,0.58085,0.3551,1.33122,0.84344,0.8966,0.000402982,0.000402982,0.000402982
24,619.667,1.28178,0.85966,0.90128,0.73316,0.50639,0.54151,0.35295,1.33973,0.83951,0.89679,0.000388844,0.000388844,0.000388844
25,643.648,1.26247,0.85032,0.89782,0.61753,0.5848,0.56367,0.36268,1.30072,0.82498,0.88991,0.000374707,0.000374707,0.000374707
26,668.508,1.275,0.83834,0.91607,0.61026,0.60665,0.59532,0.37315,1.31188,0.80578,0.88605,0.00036057,0.00036057,0.00036057
27,693.32,1.17283,0.76158,0.88382,0.78083,0.5433,0.58247,0.37022,1.32562,0.81817,0.88474,0.000346433,0.000346433,0.000346433
28,717.345,1.20438,0.78948,0.88782,0.80265,0.57346,0.60319,0.38343,1.27955,0.80457,0.87106,0.000332296,0.000332296,0.000332296
29,742.521,1.20042,0.77179,0.88427,0.68275,0.60487,0.62532,0.39724,1.28845,0.78068,0.88407,0.000318158,0.000318158,0.000318158
30,767.323,1.15963,0.71821,0.88512,0.75088,0.55816,0.57181,0.37839,1.2963,0.78829,0.8823,0.000304021,0.000304021,0.000304021
31,791.31,1.22789,0.76224,0.89074,0.82545,0.54123,0.60087,0.38012,1.26306,0.73655,0.87203,0.000289884,0.000289884,0.000289884
32,815.3,1.15411,0.72954,0.86915,0.71204,0.56553,0.59205,0.3859,1.24043,0.79289,0.87668,0.000275747,0.000275747,0.000275747
33,839.24,1.15948,0.73192,0.86347,0.84965,0.57019,0.6418,0.40469,1.24409,0.74978,0.87049,0.00026161,0.00026161,0.00026161
34,864.045,1.17469,0.7253,0.87104,0.692,0.59841,0.59947,0.38671,1.21274,0.73768,0.86004,0.000247472,0.000247472,0.000247472
35,888.043,1.10951,0.70572,0.85766,0.83929,0.57991,0.63519,0.40072,1.19668,0.74498,0.85943,0.000233335,0.000233335,0.000233335
36,912.128,1.14424,0.69303,0.86831,0.85193,0.56148,0.64454,0.41177,1.19953,0.71639,0.85235,0.000219198,0.000219198,0.000219198
37,936.941,1.14057,0.68786,0.86702,0.79748,0.55558,0.60419,0.40526,1.18074,0.7203,0.85343,0.000205061,0.000205061,0.000205061
38,960.601,1.12954,0.67778,0.85248,0.8053,0.60017,0.6217,0.40837,1.15602,0.69796,0.8524,0.000190924,0.000190924,0.000190924
39,984.314,1.10471,0.67249,0.85392,0.84739,0.5725,0.63043,0.39956,1.19543,0.711,0.85852,0.000176786,0.000176786,0.000176786
40,1007.89,1.12607,0.65361,0.86457,0.8258,0.57753,0.6459,0.41763,1.1933,0.68858,0.85348,0.000162649,0.000162649,0.000162649
41,1031.63,1.05457,0.64364,0.85723,0.86081,0.56456,0.60762,0.39286,1.1983,0.72304,0.85018,0.000148512,0.000148512,0.000148512
42,1054.02,1.06458,0.62437,0.86155,0.85467,0.59578,0.6404,0.40617,1.19417,0.69399,0.84187,0.000134375,0.000134375,0.000134375
43,1076.69,1.05415,0.62842,0.8445,0.83116,0.58467,0.6217,0.40727,1.16521,0.69993,0.84236,0.000120238,0.000120238,0.000120238
44,1099.75,1.05155,0.62529,0.8602,0.82789,0.57667,0.62707,0.40946,1.14053,0.6851,0.83809,0.0001061,0.0001061,0.0001061
45,1122.35,1.02403,0.5914,0.84161,0.85052,0.58775,0.64428,0.41287,1.15523,0.68053,0.84582,9.19632e-05,9.19632e-05,9.19632e-05
46,1144.78,1.01693,0.59762,0.84005,0.83265,0.57523,0.62613,0.4157,1.14296,0.68118,0.83847,7.7826e-05,7.7826e-05,7.7826e-05
47,1167.05,0.99876,0.58643,0.83755,0.84758,0.60098,0.63572,0.41082,1.13846,0.65858,0.83401,6.36888e-05,6.36888e-05,6.36888e-05
48,1189.29,0.99103,0.57937,0.83921,0.8484,0.59737,0.6458,0.42117,1.12657,0.66425,0.83483,4.95516e-05,4.95516e-05,4.95516e-05
49,1213.12,1.00274,0.58245,0.84564,0.81232,0.60678,0.64455,0.4167,1.14167,0.67134,0.83224,3.54144e-05,3.54144e-05,3.54144e-05
50,1236.28,0.99267,0.57361,0.84656,0.85171,0.58808,0.64498,0.41436,1.14959,0.66696,0.83409,2.12772e-05,2.12772e-05,2.12772e-05
