brand,detections_count,unique_frames,avg_confidence,avg_share_of_screen,max_share_of_screen,sum_share_of_screen,approx_duration_sec,visibility_index,weighted_visibility_index
atlasian,876,759,0.5928820250173138,0.03707978965325908,0.5184688568115234,32.481895736254955,151.8,5.628712069364729,3.3371622099243554
okx,5224,3941,0.7070908025762845,0.0021185416984106096,0.09318471699953079,11.067261832497024,788.2,1.6698345666872425,1.1807246639285047
hp,7093,3333,0.7960105925214387,0.0017921129018727859,0.011907356791198254,12.71145681298367,666.6,1.194622460388399,0.9509321325331884
oracle,1681,1639,0.7393289740102622,0.0037087268503541047,0.04261847585439682,6.23436983544525,327.8,1.2157206615460756,0.8988175093839373
moneygram,1246,640,0.7692392589479541,0.006963579464757475,0.03603285923600197,8.676620013087813,128.0,0.8913381714889568,0.6856523145081895
aramco,3439,2023,0.6974522876736036,0.0023024354078291886,0.03955607861280441,7.91807536752458,404.6,0.9315653660076898,0.649722395639561
petronas,2530,2055,0.6399248351457091,0.001948256216976164,0.027857398614287376,4.929088228949695,411.0,0.8007333051772034,0.5124091283112007
bwt,2980,2008,0.6484717843516561,0.0012840588987804852,0.03243402764201164,3.826495518365846,401.6,0.5156780537502429,0.33440266766640925
kick,1047,954,0.6039279308223451,0.0012819487494603054,0.02868444100022316,1.3422003406849399,190.8,0.2445958213970263,0.14771824830409797
capp,314,312,0.606272079003085,0.0016170602221519071,0.01346711814403534,0.5077569097556989,62.4,0.100904557862279,0.06117561607605098
