brand,detections_count,unique_frames,avg_confidence,avg_share_of_screen,max_share_of_screen,sum_share_of_screen,approx_duration_sec,visibility_index,weighted_visibility_index
okx,4721,3581,0.7292035828642208,0.002769034413486968,0.04842881113290787,13.072611466071976,716.2,1.9831824469393664,1.4461437457816184
oracle,1725,1672,0.7528319156515425,0.005363223826996915,0.0721558928489685,9.251561101569678,334.4,1.7934620477477683,1.3501754690542906
atlasian,1183,1102,0.6537470574209676,0.009352898024745772,0.40428048372268677,11.064478363274247,220.4,2.061378724653968,1.3476202754727185
petronas,5128,3978,0.6621781112321081,0.002168508643065815,0.044568371027708054,11.1201123216415,795.6,1.7252654764231625,1.142433034551853
aramco,2592,1475,0.7181063886777854,0.0029076556608888943,0.07286187261343002,7.536643473024014,295.0,0.8577584199622238,0.6159618013170358
bwt,4343,2395,0.6567101826007372,0.0017734616330405209,0.08585622161626816,7.702143872294982,479.0,0.8494881222264095,0.5578674998644627
moneygram,326,192,0.7838506592563325,0.007978886164027317,0.029580319300293922,2.6011168894729053,38.4,0.306389228698649,0.24016339890447522
hp,1827,1281,0.6475819685482627,0.0009919084895487226,0.017614716663956642,1.8122168104055163,256.2,0.25412695502238275,0.16456803379457044
kick,842,811,0.5978174480364045,0.0008107984208944067,0.033102646470069885,0.6826922703930904,162.2,0.13151150386907276,0.0786198716304388
capp,371,354,0.5623128281610031,0.001303738523626887,0.025158029049634933,0.4836869922655751,70.8,0.0923046874727836,0.051904109865338464
