brand,detections_count,unique_frames,avg_confidence,avg_share_of_screen,max_share_of_screen,sum_share_of_screen,approx_duration_sec,visibility_index,weighted_visibility_index
okx,5855,4653,0.7040957868353716,0.0016595671911601184,0.06388144195079803,9.716765904242493,930.6,1.5443932280936061,1.087400765117787
hp,9096,4852,0.7364960598022977,0.0013764165924706614,0.018256880342960358,12.519885325113137,970.4,1.3356746613335297,0.983719125249913
petronas,5190,4136,0.6652803232789269,0.0013824505740190375,0.02641833759844303,7.174918479158805,827.2,1.1435631148285479,0.760790038722993
oracle,841,816,0.6999408455297581,0.003548137580177663,0.05970240756869316,2.9839837049294147,163.2,0.5790560530849945,0.4053049834054356
aramco,1684,1029,0.6850666316699529,0.0022707932419511736,0.08477267622947693,3.8240158194457763,205.8,0.46732924919355157,0.3201516746258744
atlasian,355,334,0.547079206520403,0.008289079584897018,0.2992797791957855,2.942623252638441,66.8,0.5537105162711208,0.30292350988360744
capp,82,82,0.5313610823416128,0.012761200738346017,0.09455511718988419,1.0464184605443734,16.4,0.20928369210887465,0.1112052091554205
moneygram,308,289,0.5535803916198867,0.001928377035196777,0.018065914511680603,0.5939401268406073,57.8,0.1114601926343737,0.06170217708856461
bwt,603,324,0.63647660425251,0.001246514598596984,0.010683087632060051,0.7516483029539813,64.8,0.08077414598908456,0.05141085415052903
kick,119,118,0.5432511167365963,0.0004985490307897161,0.0153237609192729,0.05932733466397622,23.6,0.0117657571266373,0.00639176069829728
