brand,detections_count,unique_frames,avg_confidence,avg_share_of_screen,max_share_of_screen,sum_share_of_screen,approx_duration_sec,visibility_index,weighted_visibility_index
okx,935,705,0.6864058866220362,0.0027241409489950964,0.021097499877214432,2.547071787310415,84.6,0.23046232428498514,0.15819069603381045
oracle,322,303,0.7166556001449964,0.004784219649115827,0.049281325191259384,1.5405187270152965,36.36,0.17395422644185146,0.12466527054844366
petronas,478,345,0.5951987720059551,0.002027872316267124,0.05066784471273422,0.9693229671756853,41.4,0.08395391389345894,0.04996926645448045
bwt,632,296,0.670847604640677,0.0017424912305533682,0.05741385370492935,1.1012544577097287,35.519999999999996,0.06189328850925563,0.04152096433976848
atlasian,111,106,0.6051769006896663,0.003692871066615791,0.19297851622104645,0.4099086883943528,12.719999999999999,0.04697331996735286,0.02842716819294662
aramco,128,96,0.6526348949410021,0.0035454380468991076,0.03139088675379753,0.45381607000308577,11.52,0.04084344630027772,0.02665585828521021
hp,379,231,0.6269539887169105,0.0006944515770985431,0.006446147803217173,0.26319714772034786,27.72,0.019250197717171614,0.01206898824236991
capp,41,41,0.5625858699403158,0.002805271026218401,0.04641331732273102,0.11501611207495444,4.92,0.013801933448994533,0.007764772736260932
kick,50,50,0.5551782184839249,0.0019800817288341934,0.025381356477737427,0.09900408644170966,6.0,0.01188049037300516,0.006595789480000425
moneygram,12,12,0.561000645160675,0.0009866470712343773,0.004233514424413443,0.011839764854812529,1.44,0.0014207717825775034,0.0007970538866520617
