class_name,detections_count,avg_confidence,max_confidence,avg_bbox_area_px,total_bbox_area_px,avg_share_of_screen,total_share_of_screen,first_timestamp_sec,last_timestamp_sec,unique_processed_frames,unique_original_frames,estimated_duration_sec
okx,684,0.7031724609391033,0.9169285297393799,8025.514236427887,5489451.737716675,0.0038703290099991734,2.6473050428394345,5.3,458.1,529,529,52.900000000000006
hp,366,0.6193785927986186,0.9012079238891602,1322.9845804099828,484212.3564300537,0.0006380133976354493,0.23351290353457443,5.5,428.1,208,208,20.8
oracle,334,0.6036641816357653,0.8977375030517578,7769.188068138625,2594908.814758301,0.0037467149267541968,1.2514027855359018,7.6,407.8,322,322,32.2
bwt,291,0.7100220745576616,0.9371941089630127,5448.605476720227,1585544.193725586,0.0026276068118560093,0.7646335822500987,44.0,263.0,188,188,18.8
petronas,229,0.61736235152686,0.8996518850326538,5082.395468499462,1163868.562286377,0.002451000904703033,0.5612792071769945,8.5,352.4,141,141,14.100000000000001
atlasian,129,0.5855345839215803,0.9287167191505432,5035.060283808745,649522.7766113281,0.002428173362331595,0.31323436374077573,5.7,352.9,122,122,12.200000000000001
aramco,121,0.6122255327780385,0.9005803465843201,5927.736518544599,717256.1187438965,0.0028586692122881075,0.34589897468686104,11.8,446.7,93,93,9.3
capp,42,0.5927494005078361,0.9463832974433899,21410.566282726468,899243.7838745117,0.01032531181477853,0.4336630962206982,46.0,387.1,38,38,3.8000000000000003
moneygram,30,0.5518050680557887,0.7579347491264343,9165.772647094727,274973.1794128418,0.004420222122280393,0.13260666366841178,16.1,396.9,30,30,3.0
kick,18,0.5677348325649897,0.7118166089057922,396.9975865681966,7145.956558227539,0.0001914533119512877,0.003446159615123179,16.2,95.0,17,17,1.7000000000000002
