processed_frame_idx,original_frame_idx,timestamp_sec,detections_count,detected_classes,avg_confidence,total_share_of_screen
53,265,5.3,1,okx,0.5389086008071899,0.0003024672332685441
54,270,5.4,1,okx,0.4215502142906189,0.00038675530231557786
55,275,5.5,3,"hp, okx",0.4875584344069163,0.0005225129280006513
56,280,5.6,2,"hp, okx",0.6298370361328125,0.00044807008816860616
57,285,5.7,3,"atlasian, okx",0.47222989797592163,0.002286592236487195
58,290,5.8,1,okx,0.5319942235946655,0.0004217549867462367
59,295,5.9,2,"hp, okx",0.42026287317276,0.00040110542613547295
60,300,6.0,4,"hp, okx",0.5590469837188721,0.0012390673800837249
61,305,6.1,3,"hp, okx",0.5784968435764313,0.001065887016011402
62,310,6.2,3,"hp, okx",0.7454846898714701,0.0012745291751343757
63,315,6.3,3,okx,0.5906794865926107,0.00261817395221442
64,320,6.4,3,"hp, okx",0.6628856758276621,0.0012608791148522869
65,325,6.5,4,"hp, okx",0.6134573519229889,0.0021531676466111094
66,330,6.6,3,"hp, okx",0.5721220870812734,0.0015456031542271376
67,335,6.7,1,hp,0.7606444358825684,0.0002604279725346714
68,340,6.8,2,"hp, okx",0.6175979375839233,0.0009300728561356664
69,345,6.9,4,"hp, okx",0.5626212060451508,0.002793380816001445
70,350,7.0,2,"hp, okx",0.4825485050678253,0.0010935340251307935
71,355,7.1,2,"hp, okx",0.6193094849586487,0.0015797872038092464
72,360,7.2,1,okx,0.7432652115821838,0.0004617499653249979
74,370,7.4,2,okx,0.5532150566577911,0.001959545479621738
75,375,7.5,2,okx,0.6988886892795563,0.002618627797346562
76,380,7.6,3,"okx, oracle",0.6732382973035177,0.008211571257561445
77,385,7.7,1,oracle,0.7333662509918213,0.013228613883256912
79,395,7.9,1,okx,0.4377361834049225,0.01982462778687477
80,400,8.0,2,oracle,0.8811818063259125,0.014492875430732965
81,405,8.1,1,oracle,0.6955046653747559,0.0035381740890443325
82,410,8.2,1,oracle,0.7468581795692444,0.002089996822178364
83,415,8.3,1,oracle,0.6556242108345032,0.0017936108633875847
84,420,8.4,2,oracle,0.6282458901405334,0.007612401037476957
85,425,8.5,2,"oracle, petronas",0.6492505371570587,0.002484651340637356
86,430,8.6,1,oracle,0.4290356934070587,0.000638505385722965
90,450,9.0,1,okx,0.7411613464355469,0.000580996333155781
91,455,9.1,1,okx,0.7389127016067505,0.000513995997607708
92,460,9.2,2,"hp, okx",0.5771231800317764,0.000719791540177539
93,465,9.3,2,"hp, okx",0.6177183836698532,0.0005321991629898548
94,470,9.4,1,okx,0.791796863079071,0.00038816130836494267
95,475,9.5,1,okx,0.670580267906189,0.0004504096577875316
96,480,9.6,2,"hp, okx",0.5159225463867188,0.0005138757842360064
97,485,9.7,1,okx,0.637287437915802,0.00033850266481749713
98,490,9.8,2,"hp, okx",0.5464911907911301,0.00045922679419163615
99,495,9.9,1,okx,0.6739220023155212,0.00028924248181283474
100,500,10.0,1,okx,0.48042771220207214,0.0004555892082862556
101,505,10.1,1,okx,0.48846495151519775,0.0005747801624238491
102,510,10.2,1,okx,0.5464465022087097,0.00031329167541116476
103,515,10.3,1,okx,0.6937180161476135,0.0002804557152558118
104,520,10.4,2,"hp, okx",0.6281925141811371,0.0004770820669364184
105,525,10.5,2,"hp, okx",0.4883980453014374,0.00045350449363468215
106,530,10.6,1,hp,0.41403093934059143,0.00010636951628839597
107,535,10.7,1,okx,0.6442347168922424,0.00035085485433228314
108,540,10.8,1,hp,0.47770029306411743,0.0001406567171216011
109,545,10.9,1,okx,0.40055379271507263,0.00028629586449824274
110,550,11.0,1,okx,0.6290207505226135,0.00030386410071514547
111,555,11.1,1,okx,0.5438332557678223,0.0007506459369324148
114,570,11.4,1,hp,0.4296953082084656,0.00017142808064818382
115,575,11.5,1,hp,0.4305546283721924,0.00035151574411429465
116,580,11.6,1,hp,0.5072562098503113,0.0004118967626709491
117,585,11.7,1,hp,0.6065735816955566,0.001017288537696004
118,590,11.8,1,aramco,0.4577566087245941,0.00022360411821864545
119,595,11.9,4,"aramco, okx, oracle",0.5053486377000809,0.0017422600940335542
120,600,12.0,3,"aramco, oracle",0.7244093616803488,0.002187767648138106
121,605,12.1,1,okx,0.5694097876548767,0.0003344327269587666
122,610,12.2,1,okx,0.7758334875106812,0.00038805490476079285
123,615,12.3,1,okx,0.6802886128425598,0.0003556062001734972
124,620,12.4,2,okx,0.6820850670337677,0.0006990044785197824
125,625,12.5,2,okx,0.7071428298950195,0.0006501596653833985
126,630,12.6,3,"hp, okx",0.573296477397283,0.0009048438805621117
127,635,12.7,3,"hp, okx",0.5160135825475057,0.0010473538568476215
128,640,12.8,3,okx,0.6305428544680277,0.0010807303187903017
129,645,12.9,4,"hp, okx",0.5478519275784492,0.0012365482543827966
130,650,13.0,2,"hp, okx",0.4133458435535431,0.0008619863365311176
131,655,13.1,3,"hp, okx",0.6198623379071554,0.0011356068280292675
132,660,13.2,2,okx,0.7082469761371613,0.0010840305767487735
133,665,13.3,3,"hp, okx",0.5865755875905355,0.0013371701643336564
134,670,13.4,2,okx,0.6088551133871078,0.0013192227925173938
135,675,13.5,2,"hp, okx",0.7117619216442108,0.0012384254951030016
136,680,13.6,1,okx,0.8492146134376526,0.0010365304769948125
137,685,13.7,2,okx,0.694165825843811,0.0013575668854173273
138,690,13.8,1,okx,0.8268266916275024,0.0013213226338848472
139,695,13.9,3,"hp, okx",0.6410771210988363,0.0019613074546214193
140,700,14.0,3,"hp, okx",0.7723411520322164,0.002353358897380531
141,705,14.1,3,"hp, okx",0.8344514568646749,0.0029195653332863003
142,710,14.2,3,"hp, okx",0.8056143919626871,0.00352880428545177
143,715,14.3,2,"hp, okx",0.8086819350719452,0.001240893208887428
144,720,14.4,2,"hp, okx",0.7966943085193634,0.0014776483876630664
145,725,14.5,2,"hp, okx",0.6792665719985962,0.0008511016349075362
146,730,14.6,2,"hp, okx",0.6459603756666183,0.0009429563215235248
147,735,14.7,2,"hp, okx",0.7054159939289093,0.0011771449935622513
148,740,14.8,3,"hp, okx",0.5631897151470184,0.0013719568523811176
149,745,14.9,1,okx,0.8044809103012085,0.0013199400855228305
150,750,15.0,2,"hp, okx",0.7011751532554626,0.001783073617843911
151,755,15.1,1,okx,0.8351519107818604,0.00204845005646348
153,765,15.3,1,hp,0.5262141227722168,0.00025810464285314083
154,770,15.4,1,aramco,0.43236976861953735,0.0017235950799658895
155,775,15.5,2,"aramco, hp",0.5582167059183121,0.002454010827932507
156,780,15.6,3,"aramco, hp",0.5583278934160868,0.0036711525463033468
157,785,15.7,3,"aramco, hp",0.5300202866395315,0.000999983458314091
158,790,15.8,3,hp,0.5594068864981333,0.0011817789927590638
159,795,15.9,2,hp,0.7077371180057526,0.0006937280122656375
160,800,16.0,3,hp,0.5695777634779612,0.0013591176248155534
161,805,16.1,5,"aramco, hp, moneygram",0.6238168120384217,0.00852799488347955
162,810,16.2,4,"hp, kick, moneygram",0.6556878760457039,0.001583022705744952
163,815,16.3,2,"hp, kick",0.6951324045658112,0.0013771482917945832
164,820,16.4,3,"hp, kick, moneygram",0.5961963931719462,0.00264186648564646
166,830,16.6,1,kick,0.44189077615737915,0.00012196734314784408
167,835,16.7,1,kick,0.69110107421875,0.00014601481962017715
168,840,16.8,3,"atlasian, kick",0.5400684972604116,0.0034146662801504135
169,845,16.9,3,"atlasian, kick",0.5396884083747864,0.004987236316082999
170,850,17.0,2,"atlasian, kick",0.524205669760704,0.001450328178179916
171,855,17.1,2,"atlasian, kick",0.5285652279853821,0.0019676432420965284
172,860,17.2,2,"atlasian, kick",0.5995962023735046,0.0029925629787612706
173,865,17.3,3,"atlasian, kick",0.47554335991541546,0.0021337121434044093
174,870,17.4,1,kick,0.6255515813827515,0.00032949872547760606
175,875,17.5,2,"atlasian, kick",0.6271055340766907,0.003786620043683797
176,880,17.6,2,"kick, petronas",0.571946531534195,0.003047572070499882
219,1095,21.9,1,oracle,0.5310063362121582,0.00021770740568172187
222,1110,22.2,1,oracle,0.6714270114898682,0.0003129625110886991
245,1225,24.5,1,okx,0.4212574362754822,0.0002024947461904958
246,1230,24.6,1,okx,0.4517095685005188,0.00035732300602830946
247,1235,24.7,1,okx,0.528428852558136,0.0005625932826660573
260,1300,26.0,1,oracle,0.41345399618148804,0.00024078067508526146
266,1330,26.6,1,oracle,0.6696918606758118,0.0007164397393353283
267,1335,26.7,1,oracle,0.829088568687439,0.0015644206432625651
271,1355,27.1,1,aramco,0.4147782325744629,0.0002949357149191201
272,1360,27.2,3,aramco,0.563970943291982,0.0013471131096594036
273,1365,27.3,2,aramco,0.5532291531562805,0.0011911002802662551
274,1370,27.4,1,aramco,0.6874945759773254,0.000553649093490094
275,1375,27.5,1,aramco,0.6737293601036072,0.0007664044969715178
276,1380,27.6,1,aramco,0.6585195660591125,0.0011068138992413878
311,1555,31.1,1,hp,0.6058703064918518,0.000615062890574336
321,1605,32.1,1,oracle,0.7410867214202881,0.0005272867274470627
322,1610,32.2,1,oracle,0.6600281596183777,0.0007112981402315199
323,1615,32.3,1,oracle,0.4008130431175232,0.0008454110939055681
329,1645,32.9,1,aramco,0.41247236728668213,0.00019302502914797515
330,1650,33.0,1,aramco,0.4295434057712555,0.00024163775378838181
331,1655,33.1,1,aramco,0.4141702353954315,0.00026867177803069353
332,1660,33.2,1,aramco,0.438741534948349,0.00037549834814853966
343,1715,34.3,1,hp,0.49246224761009216,0.00044862847425974905
356,1780,35.6,1,okx,0.5006554126739502,0.00018352820188738406
374,1870,37.4,1,oracle,0.5215215682983398,0.00015387716121040285
375,1875,37.5,1,oracle,0.598288357257843,0.0001454896409995854
376,1880,37.6,1,oracle,0.5980116724967957,0.00029213595553301275
377,1885,37.7,1,oracle,0.5921721458435059,0.0002500686387065798
378,1890,37.8,1,oracle,0.824505090713501,0.0002854503982234746
379,1895,37.9,1,oracle,0.46508923172950745,0.0002766860125120729
380,1900,38.0,1,oracle,0.6786720752716064,0.00023778181639499962
381,1905,38.1,1,oracle,0.7196136116981506,0.00023083742416929454
382,1910,38.2,1,oracle,0.7866240739822388,0.000232339181820862
383,1915,38.3,1,oracle,0.7030861973762512,0.00029519485542550683
384,1920,38.4,1,oracle,0.523052990436554,0.000228852077270858
386,1930,38.6,1,oracle,0.5665804147720337,0.0003335627552587539
387,1935,38.7,1,oracle,0.5418795347213745,0.00020803409279324114
428,2140,42.8,1,oracle,0.4897122383117676,0.00022806412016507238
429,2145,42.9,1,oracle,0.4252457618713379,0.00029043632093816996
430,2150,43.0,1,oracle,0.47037407755851746,0.0003499744925647974
431,2155,43.1,1,oracle,0.5356753468513489,0.00042142460006289184
432,2160,43.2,1,oracle,0.7207785844802856,0.00038228833000175655
433,2165,43.3,1,oracle,0.7911921739578247,0.0004235128581058234
434,2170,43.4,1,oracle,0.7972292304039001,0.00045680475886911154
435,2175,43.5,1,oracle,0.7631139755249023,0.00037821976002305746
436,2180,43.6,1,oracle,0.7257044315338135,0.00040692396578378975
437,2185,43.7,1,oracle,0.6071175932884216,0.0004315824480727315
438,2190,43.8,1,oracle,0.5269879698753357,0.00043065528734587133
440,2200,44.0,1,bwt,0.5414782166481018,0.00016194465570151806
441,2205,44.1,3,"bwt, oracle",0.6546705365180969,0.0007606465806020424
443,2215,44.3,1,oracle,0.4629209041595459,0.0004806556098628789
444,2220,44.4,2,"oracle, petronas",0.5299091041088104,0.0006652936281170696
445,2225,44.5,1,bwt,0.6896706819534302,0.00029837744659744203
446,2230,44.6,1,oracle,0.4095902144908905,0.000252483383519575
449,2245,44.9,2,"bwt, oracle",0.5692625939846039,0.0006571966223418713
450,2250,45.0,3,"bwt, oracle",0.6492359042167664,0.0008465968421660364
451,2255,45.1,5,"aramco, bwt, oracle",0.5650254964828492,0.0018707810959313065
452,2260,45.2,4,"aramco, bwt, oracle",0.5599687620997429,0.0015242860827129334
453,2265,45.3,5,"aramco, bwt",0.5486039519309998,0.0015361630939878523
454,2270,45.4,1,bwt,0.6792782545089722,0.0004628401075024158
455,2275,45.5,3,"aramco, bwt",0.5453910529613495,0.0014381235523615032
456,2280,45.6,1,bwt,0.477169930934906,0.0005072209169156849
457,2285,45.7,2,bwt,0.6132106184959412,0.0011731050326488912
458,2290,45.8,3,"aramco, bwt",0.4675225416819255,0.001177708967588842
459,2295,45.9,1,bwt,0.6184955835342407,0.0004975042538717389
460,2300,46.0,5,"aramco, bwt, capp",0.5150076746940613,0.002203302690759301
461,2305,46.1,1,bwt,0.6346839666366577,0.000717627932317555
462,2310,46.2,2,bwt,0.7124959826469421,0.001019999268464744
463,2315,46.3,2,bwt,0.6489163637161255,0.001297929440625012
464,2320,46.4,3,"aramco, bwt",0.6042331258455912,0.001547495136037469
465,2325,46.5,3,"aramco, bwt",0.5425504843393961,0.0015248931304086
466,2330,46.6,3,"aramco, bwt",0.5237140556176504,0.0018515841802582145
467,2335,46.7,2,"aramco, bwt",0.6866447031497955,0.0013336341362446547
468,2340,46.8,1,aramco,0.6509833335876465,0.0006542857154272497
469,2345,46.9,3,"aramco, bwt, moneygram",0.5044191479682922,0.0017748727113939822
470,2350,47.0,3,"aramco, bwt",0.5887436668078104,0.0016223537386395037
471,2355,47.1,1,aramco,0.6334669589996338,0.0006231265724636614
472,2360,47.2,3,"aramco, bwt",0.5155076185862223,0.0013003533676965162
473,2365,47.3,3,"aramco, bwt, moneygram",0.45591936508814496,0.001101076981285587
475,2375,47.5,1,aramco,0.5141177773475647,0.0007134924526326358
476,2380,47.6,1,moneygram,0.4403042495250702,0.0002140688884537667
477,2385,47.7,2,"aramco, moneygram",0.5322795212268829,0.0006222533411346376
478,2390,47.8,1,aramco,0.7133501172065735,0.0004242283175699413
479,2395,47.9,2,"aramco, bwt",0.5128728598356247,0.0006589919212274253
489,2445,48.9,1,oracle,0.4206114411354065,0.00021576920698862523
514,2570,51.4,1,oracle,0.7493599653244019,0.005042956210672855
529,2645,52.9,1,petronas,0.4315855801105499,0.00042401396785862744
538,2690,53.8,1,bwt,0.757044792175293,0.003219235921278596
539,2695,53.9,1,bwt,0.9237417578697205,0.005809714086353779
540,2700,54.0,1,bwt,0.8803586363792419,0.003968375734984875
543,2715,54.3,1,aramco,0.43838930130004883,0.006845337338745594
546,2730,54.6,1,bwt,0.8567990660667419,0.00313558173365891
550,2750,55.0,1,aramco,0.6360109448432922,0.008117702789604664
552,2760,55.2,1,aramco,0.4212539792060852,0.0024763154797255993
555,2775,55.5,1,aramco,0.5553982257843018,0.012212919071316719
559,2795,55.9,1,aramco,0.5454616546630859,0.012185965664684772
560,2800,56.0,1,aramco,0.5009546279907227,0.012389658018946648
564,2820,56.4,1,aramco,0.49424484372138977,0.01691061444580555
569,2845,56.9,1,aramco,0.5619316697120667,0.015956679359078407
571,2855,57.1,1,aramco,0.41735097765922546,0.01080896146595478
572,2860,57.2,1,aramco,0.5952242016792297,0.009637510403990746
581,2905,58.1,1,aramco,0.41555508971214294,0.011105854995548725
582,2910,58.2,1,aramco,0.5627542734146118,0.010579980909824371
584,2920,58.4,1,aramco,0.5385827422142029,0.012557952664792538
586,2930,58.6,1,okx,0.5397452116012573,0.00021683269005734473
587,2935,58.7,1,okx,0.47921234369277954,0.00019087425607722253
588,2940,58.8,1,okx,0.5414694547653198,0.000219331806874834
589,2945,58.9,3,"hp, okx, oracle",0.49773795406023663,0.0012845916862715967
590,2950,59.0,2,"okx, oracle",0.6965003609657288,0.0012643227819353342
592,2960,59.2,1,hp,0.42846035957336426,0.00011233939585508779
593,2965,59.3,1,oracle,0.5927552580833435,0.00097555824322626
594,2970,59.4,2,"hp, okx",0.5346682071685791,0.000502155686262995
596,2980,59.6,3,"hp, okx",0.41475336750348407,0.0005078048779978417
597,2985,59.7,3,"hp, okx",0.41608598828315735,0.0005544290761463344
598,2990,59.8,2,"hp, okx",0.5697431862354279,0.0004208343962091021
